13º salário;Christmas bonus
empreiteiro;contractor
empresa;enterprise, company, corporation, business
empresa aberta, empresa com ações cotadas em bolsa de valores, empresa com ações transacionadas em bolsa de valores;publicly-traded company, quoted company, listed company
empresa antecessora;predecessor company
Empresa Brasileira de Aeronáutica - EMBRAER;Brazilian Aeronautics Company - EMBRAER
empresa brasileira de capital nacional;Brazilian national capital company
Empresa Brasileira de Radiodifusão - RADIOBRÁS;Brazilian Radio and Broadcasting Service - RADIOBRÁS
Empresa Brasileira de Telecomunicações S.A. - EMBRATEL;Brasilian Telecommunications Company - EMBRATEL
Empresa Brasileira de Turismo - EMBRATUR;Brazilian Tourism Company - EMBRATUR
empresa cedente;ceding company, transferring company, assigning company
empresa coligada, empresa associada;associated company
empresa comercial ou industrial;business enterprise
empresa controlada;subsidiary, controlled company
empresa controladora, matriz;parent company, controlling company
Empresa de Correios e Telégrafos - ECT;Mail and Telegraph Company
empresa de porte médio;medium-sized company
empresa de prestação de serviços;service company
Empresa de Processamento de Dados da Previdência Social - DATAPREV;Social Security Data Processing Company
empresa diversificada;diversified company
empresa em funcionamento;operating company
empresa em marcha;going concern
empresa emergente;emerging business
empresa estatal;state-owned company
empresa estrangeira;foreign company
empresa fechada;closed company, closely-held company
empresa filiada;affiliated company
empresa inativa;dormant company
empresa incorporada ou incorporadora;merging company
empresa investida;investee
empresa ligada;affiliated company, group company
empresa nacional;domestic company
empresa pequena;small business
empresa resultante de fusão;combined corporation
empresa voltada para o cliente;customer driven company
empresário;entrepreneur, businessman
empresas participantes de fusão ou incorporação;combining companies
empresas que se aliam para determinado objetivo;allied companies, corporate venture partners
emprésitmos mantidos para revenda;loans held for resale
emprestar;lend
empréstimo a curto prazo;short-term loan
empréstimo a longo prazo;long-term loan
empréstimo a prazo;term loan
empréstimo a prestações;installment loan
empréstimo à vista;demand loan
empréstimo bancário;bank loan
empréstimo com juros fixos;fixed interest loan
empréstimo com taxa flutuante, empréstimos com juros variáveis;floating interest loan
empréstimo comercial;commercial loan
empréstimo compulsório;compulsory loan
empréstimo consolidado;consolidated loan
empréstimo efetuado por meio de consórcio de bancos;syndicated loan
empréstimo estrangeiro;foreign loan
empréstimo garantido por ativos;"asset-based lending; collateralized lending; guaranteed lending"
empréstimo por um dia;day loan
empréstimo resgatável quando solicitado;call loan
empréstimo-ponte;bridging loan
empréstimos;"loans; borrowings"
empréstimos a estudantes;student loans
empréstimos ao consumidor;consumer loans
empréstimos com parcelas em atraso;delinquent loans
empréstimos e compromissos de empréstimos;loans and commitments
empréstimos em aberto;loans outstanding, outstanding loans
empréstimos garantidos;secured loans
empréstimos garantidos por hipotecas de residências;home equity loans, mortgage loans
empréstimos hipotecários;mortgage lending
empréstimos imobiliários;real estate loans
empréstimos mediante uso de cheques;"check credit loans; overdraft"
empréstimos para construção;constructions loans
empréstimos para o setor de varejo;retail credit loans
empréstimos que não auferem juros (em vista da dificuldade de receber o principal);non-accrual loans
empréstimos reestruturados;restructured loans
emrpesa incorporada;merged company
emrpesa sucessora;successor company
encaixe;fit
encampação hostil;hostile takeover
encargo;charge, burden
encargos financeiros;financial charges
encargos indiretos;indirect charges
encargos indiretos absorvidos no custeio da produção;absorbed burden, applied overhead
encarregado da escrituração contábil;bookkeeper
encarregado de negócios;commercial attaché
encarregar-se;take charge of
encerrar atividades;close down activities
encerrar operações;close down operations
encontro;meeting
endereço postal;mailing address
endividamento;indebtedness
endossado;endorsee
endossante;endorser
endossar;endorse
endossatário;endorsee
endosso;endorsement
endosso em branco;blank endorsement
endosso restritivo;restrictive endorsement
energia elétrica (setor);energy (industry)
ênfase;emphasis
enfileirar;"line up (in a row); place in rows"
engano;mistake
"engano (s); enganar (v)";swindle (n) (v)
engendrar, executar;"engineer; operate"
engenheiro;engineer
enriquecer;enrich
entender mal;misunderstand
Enterprise Resource Planning - ERP;Enterprise Resource Planning - ERP
entidade;entity
entidade governamental;government agency
entidade normativa;regulatory agency
entidade que apresenta o relatório;reporting entity
entidades fechadas de previdência privada;closed private pension entities
entrada;admission, admittance, inflow
entrada (sinal);down payment
entrada de caixa;cash inflow
entrada de capital;capital inflow
entrante;incoming
entrar em vigor;become effective
entre aspas (citação);in quotes
entrega;delivery
entrega a domicílio;home delivery
entrega de um bem usado (como parte do pagamento de uma nova aquisição);trade-in
entreposto;emporium, deposit
entrevista coletiva à impresa;news conference, press conference
entrevista, encontro;appointment, interview
enviar, expedir;send, forward
envolvido;implied
época de mais trabalho;busy season
época oportuna;timeliness
equação;equation
equalização de princípios contábeis;harmonization of accounting principles
equilíbrio (processo para assegurar que as compras e vendas em cada moeda e que os depósitos/empréstimos feitos/recebidos estejam equilibrados - casados - por montante e por vencimento);matching
equipamento auxiliar;standby equipment
equipamentos de transferência;on-line wire transfer
equipamentos e instalações;equipment and installations
equiparação salarial;salary equalization
equivalente;equivalent
equivalente à ação ordinária (EUA);common stock equivalent (USA)
errático;erratic
erro;misstatement, mistake, error
erro compensatório;compensating error
erro de amostragem;sampling error
erro de apresentação;misstatement
erro de impressão;misprint
erro padrão;standard error
erro retificador;offsetting error
erro sistemático;bias
escala;scale, range
escala decrescente;degressive scale
escapar;evade
escassez;shortage
escoamento;outflow
escopo do trabalho de auditoria;scope of audit work
escopo, extensão, alcance;scope
escrito à mão;handwritten
escritório;office
escritório central;headquarters
escritura;indenture, deed
escritura;title deed
escritura de fideicomisso;deed of trust, trust deed
escritura de venda;deed of sale
escrituração contábil;bookkeeping
escrutínio;ballot
escrutinizar;scrutinize
esgotado, vendido;sold out
espalhar boatos;peddle
especialista;expert, specialist
